cid,Smiles,classlabel
CHEMBL1269999,COc1ccc(/C=C2\C(=O)N(c3cccc([N+](=O)[O-])c3)N=C2C(=O)O)cc1Cc1ccc(F)cc1,0
CHEMBL303093,O=C1Oc2ccccc2C(O)C1Sc1c(O)oc2ccccc2c1=O,0
CHEMBL1214417,CCOC(=O)/C(O)=C/C(=O)c1cn(Cc2ccccc2Cl)c2cccc(OC)c12,0
CHEMBL3742037,COc1ccc(C2=Cc3ccc(F)cc3C(CC(=O)C(C)O)N2c2ccc(F)cc2)cc1,0
CHEMBL391411,O=C(N/N=C/c1ccc(O)c(O)c1)c1ccccc1O,0
CHEMBL1773409,O=C1c2ncc3c(c(CCCOC4CCOCC4)cn3Cc3ccc(F)cc3)c2CCN1O,1
CHEMBL4452722,O=C(c1ccc(-c2ccccc2)cc1)c1cc(=O)n(O)c(=O)[nH]1,0
CHEMBL251378,Cc1cc(C)nc(SCc2nnc(SCC(=O)NNC(=O)c3ccccc3O)n2-c2ccccc2)n1,0
CHEMBL250777,O=C(CSc1nnc(Cc2ccccc2)n1-c1cccc(Cl)c1)NNC(=O)c1ccccc1O,0
CHEMBL3360113,CSC1COCC1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,1
CHEMBL76984,C=C(C=O)[C@@H]1C[C@@]2(C)C(=CC1=O)[C@H](OC(=O)/C(C)=C/C(C)CCCC)CC[C@@H]2C(=O)O,0
CHEMBL1173011,Oc1ccc2cc(-c3ccccc3)ccc2c1O,0
CHEMBL512195,O=C(O)/C(O)=C/C(=O)c1cn(Cc2ccc(F)cc2)c2ccccc2c1=O,1
CHEMBL64802,CCCCCCc1cc2c(cc1O)OC(=O)C(C(c1ccccc1)c1c(O)oc3cc(O)c(CCCCCC)cc3c1=O)C2O,0
CHEMBL1773403,O=C1c2ncc3c(c(COCCCc4ccccn4)cn3Cc3ccc(F)cc3)c2CCN1O,1
CHEMBL2206761,CCN(CC)S(=O)(=O)c1cc(O)c(O)c2c1CN(Cc1ccc(F)c(Cl)c1)C2=O,1
CHEMBL79935,CCCCC(C)/C=C(\C)C(=O)O[C@@H]1CC[C@H](C(=O)O)[C@@]2(C)CC([C@H](C)C=O)C(=O)C=C12,0
CHEMBL3259901,Cc1ccc2c(-c3ccc(Cl)cc3)c([C@H](OC(C)(C)C)C(=O)O)c(C)nc2c1,1
CHEMBL3238120,CCOC(=O)/C(O)=C/C(=O)c1cn(Cc2ccc(F)cc2)c2cc(N3CCNCC3)ccc2c1=O,0
CHEMBL159251,COc1cc(OC)c2c(OC)c3c(cc2c1-c1c(OC)cc(OC)c2c(OC)c4c(cc12)OC(C)C(C)C4=O)OC(C)C(C)C3=O,0
CHEMBL260185,COc1ccc(OC)c2c1c(C(=O)/C=C(\O)C(=O)O)cn2Cc1ccc(F)cc1,1
CHEMBL188746,COc1cc(/C=C/S(=O)(=O)CS(=O)(=O)/C=C/c2cc(O)c(O)c(OC)c2)cc(O)c1O,0
CHEMBL510455,Cc1cc2c(cc1Cl)SC(C(=O)c1ccc3ccccc3c1)NS2(=O)=O,0
CHEMBL1223401,Cn1c([C@@H]2C[C@H](F)CN2Cc2ccon2)nc(C(=O)NCc2ccc(F)cc2)c(O)c1=O,1
CHEMBL1914460,CN(C)C(=O)Cn1c(=O)c(C(=O)NCc2ccc(F)cc2)c(O)c2ncc(Cc3ccc(F)cc3)cc21,1
CHEMBL2316125,C[C@H](O)CNC(=O)c1c(O)c2ncc(Cc3ccc(F)cc3)cc2n(C)c1=O,1
CHEMBL557865,NS(=O)(=O)c1ccc(NC(=O)c2cc(O)c(O)c(O)c2)cc1,0
CHEMBL128508,CCCCn1cnnc1NS(=O)(=O)c1cc(C(=O)Nc2ccc(Cl)cc2)c(Cl)cc1S,0
CHEMBL492328,CCN(C(=O)c1ccncc1)c1cccn2c(=O)c(O)c(C(=O)NCc3ccc(F)cc3)nc12,1
CHEMBL497225,O=C1NC(=S)NC(=O)C1=Cc1ccc(-c2ccc(F)cc2C(=O)O)o1,0
CHEMBL549679,COc1c2c(c(O)c3c1C(=O)c1c(cc(O)c(C)c1O)C3=O)-c1c(cc3c(c1O)C(=O)N1CCCNC31)CC2,0
