cid,Smiles,classlabel
CHEMBL236614,N#C/C(=C\c1ccc(-c2ccc(Cl)c(C(=O)O)c2)o1)c1nc2ccccc2[nH]1,0
CHEMBL1214480,CCOC(=O)/C(O)=C/C(=O)c1cn(Cc2cccc(F)c2Cl)c2cccc(OC)c12,0
CHEMBL1269478,O=c1ccc2cccnc2n1O,0
CHEMBL3414858,Cc1ccc(Cc2ccc3c(c2)CC(=O)N(O)C3=O)cc1,0
CHEMBL3582071,O=C(O)/C(O)=C/C(=O)c1cn(Cc2ccc(F)c(Cl)c2)c2ccccc2c1=O,0
CHEMBL254646,COc1cccc(/C=N/NC(=O)c2cccc(O)c2O)c1OC,0
CHEMBL392938,Cc1ccc2[nH]c(/C(C#N)=C/c3ccc(-c4ccc(Cl)cc4C(=O)O)o3)nc2c1,0
CHEMBL3310094,CN(C)C(=O)Cn1c(=O)c(C(=O)NCCN2CCOCC2)c(O)c2ncc(Cc3ccc(F)cc3)cc21,1
CHEMBL309502,O=c1c(C(c2ccc3ccccc3c2)c2c(O)oc3cc(O)ccc3c2=O)c(O)oc2cc(O)ccc12,0
CHEMBL389881,O=C(O)C(=O)CC(=O)c1ccc(N2CCOCC2)cc1,0
CHEMBL293788,CC(=O)Oc1cccc2ccc(/C=C/c3ccccc3)nc12,0
CHEMBL2206769,O=C(O)CNS(=O)(=O)c1cc(O)c(O)c2c1CN(Cc1ccc(F)c(Cl)c1)C2=O,1
CHEMBL492932,CCN(C(=O)CN1CCOCC1)c1cccn2c(=O)c(O)c(C(=O)NCc3ccc(F)cc3)nc12,1
CHEMBL492543,CCN(C(=O)C(=O)N1CCN(C)CC1)c1cccn2c(=O)c(O)c(C(=O)NCc3ccc(F)cc3)nc12,1
CHEMBL237942,O=C1c2c(O)c(O)c(I)c(=O)n2CCN1Cc1ccc(F)cc1,1
CHEMBL198442,O=C(Cc1ccccc1)Nc1cc(C(=O)O)c(NC(=O)Cc2ccccc2)cc1C(=O)O,0
CHEMBL561646,O=C1c2c(ccc(O)c2O)CN1Cc1ccc(F)cc1Cl,0
CHEMBL3597536,CC(C)C(C(=O)O)N1C(=O)/C(=C/c2ccc(O)cc2)SC1=S,0
CHEMBL431948,O=C(/C=C\c1ccc(O)c(O)c1)OC1CC(OC(=O)/C=C\c2ccc(O)c(O)c2)(C(=O)O)CC(O)C1O,0
CHEMBL370620,O=C(O)C(=O)/C=C(\O)c1cn(Cc2ccccc2)c(=O)n(Cc2ccccc2)c1=O,0
CHEMBL427235,CC(C)C[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](C)NC(=O)[C@@H](N)[C@@H](C)O)C(=O)N[C@@H](C)C(=O)NCC(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(N)=O,0
CHEMBL199145,O=C(NCc1ccc(F)cc1)c1ncc2cccnc2c1O,1
CHEMBL461996,Cc1cc(S(=O)(=O)Nc2nc3cc(C(C)(C)C)sc3c(=O)n2Cc2ccccc2)c(S)cc1Cl,0
CHEMBL170850,COOC(=O)c1cc2cc(O)c(O)cc2cn1,0
CHEMBL454633,O=S1(=O)CCCCN1c1nc(-c2nnc(Cc3ccc(F)cc3)o2)c(O)c2ncccc12,1
CHEMBL428673,CC[C@H](C)[C@@H](N)C(=O)N[C@H](CC(C)C)C(=O)N1CCC[C@@H]1C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](CCCCN)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N1CCC[C@@H]1C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N1CCC[C@@H]1C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N1CCC[C@@H]1C(=O)N1CCC[C@@H]1C(=O)NCCCCC(NC(=O)[C@H]1CCCN1C(=O)[C@H]1CCCN1C(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H]1CCCN1C(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H]1CCCN1C(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](CCCCN)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H]1CCCN1C(=O)[C@@H](CC(C)C)NC(=O)[C@H](N)[C@@H](C)CC)C(N)=O,0
CHEMBL385951,O=C(NCc1ccccc1)c1nc(-c2ccccc2)nc(O)c1O,1
CHEMBL297923,COc1ccc(-c2c3n(c4c(=O)oc5cc(OS(=O)(=O)[O-])c(OC)cc5c24)C(O)Cc2c-3cc(OC)c(OC)c2OC)cc1O.[Na+],0
CHEMBL2442188,CCS(=O)(=O)NCCCn1c(C(C)(C)C)nc(C(=O)NCc2ccc(F)cc2)c(O)c1=O,0
CHEMBL3288833,COC(=O)[C@H](Nc1c(C(=O)NCc2ccc(F)cc2F)c(=O)n(O)c2ncccc12)c1ccccc1,1
CHEMBL209879,O=C(CC(=O)C(=O)O)CC(=O)c1ccccc1C(F)(F)F,0
CHEMBL1222458,CC(=O)N1C[C@@H](F)C[C@H]1c1nc(C(=O)NCc2ccc(F)c(C)c2)c(O)c(=O)n1C,1
CHEMBL1914550,O=C(NCc1ccc(F)cc1C(F)(F)F)c1c(O)c2ncc(Cc3ccccc3)cc2[nH]c1=O,1
CHEMBL430168,CCOc1ccc(C(=O)C2=C(O)C(=O)N(c3nccs3)C2c2ccc(O)c(OC)c2)cc1,0
CHEMBL2180585,CS(=O)(=O)NCCCN(c1nc(C(=O)NCc2ccc(F)cc2)c(O)c2ncccc12)S(C)(=O)=O,0
CHEMBL1269893,COc1ccc(/C=C2\C(=O)N(c3cccc(Br)c3)N=C2C(=O)O)cc1OCc1ccc(F)cc1,0
CHEMBL245519,NS(=O)(=O)c1cc(F)ccc1CNC(=O)c1nc(N2CCCCS2(=O)=O)c2cccnc2c1O,1
CHEMBL559493,Cc1nc(C)c(C(=O)N2CCCCC2c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)[nH]2)s1,1
CHEMBL1669298,COc1ccc(C(=O)Nc2ccc(C(=O)/C=C/c3ccc(O)c(O)c3)cc2)cc1,0
CHEMBL3288826,NCCNc1c(C(=O)NCc2ccc(F)cc2F)c(=O)n(O)c2ncccc12,1
CHEMBL497226,Cc1ccc(C(=O)O)cc1-c1ccc(C=C2C(=O)NC(=S)NC2=O)o1,0
CHEMBL358821,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H]1C(O)C[C@](O)(C(=O)O)C[C@H]1OC(=O)/C=C/c1ccc(O)c(O)c1,0
CHEMBL250977,Cc1ccc(-n2c(SCC(=O)NNC(=O)c3ccccc3O)nnc2-c2ccccc2)cc1,0
CHEMBL1173791,CC(C)C(C(=O)O)N1C(=O)/C(=C/c2cccc3ccccc23)SC1=S,0
CHEMBL468451,C=C(CC[C@@H](C)[C@H]1C[C@@H](OC)c2c3c(cc(C)c21)[C@@]1(C)C[C@@H](O)[C@H](O)C(C)(C)[C@@H]1CC3)C(C)C,0
